"ITAG"	"GO"
"Solyc00g005000.2.1"	"0006508,0004190"
"Solyc00g005040.2.1"	"0005774,0009611,0006635,0003988,0010118,0009507,0005777,0005730,0030551,0042802,0009644,0009695,0005242,0010111,0055085,0006813,0009789,0009860,0007623,0005739,0006550,0006552,0006574,0006699,0018874,0042967,0008076"
"Solyc00g005050.2.1"	"0005829,0005739,0005886"
"Solyc00g005080.1.1"	"0005524,0009570,0017111,0009575"
"Solyc00g005130.1.1"	"0006508,0008234"
"Solyc00g005150.1.1"	"0003676"
"Solyc00g005160.1.1"	"0005488"
"Solyc00g005440.1.1"	"0003723,0003735,0005622,0022627,0016020,0006412,0042254"
"Solyc00g005470.1.1"	"0005622,0003735,0022627,0016020,0006412,0019843,0042254"
"Solyc00g005480.1.1"	"0043687,0009793,0016925,0005515,0019789,0009737,0005634"
"Solyc00g005840.2.1"	"0016671,0045454,0009055,0015035,0006662,0009507,0006118"
"Solyc00g005860.1.1"	"0008270"
"Solyc00g005870.1.1"	"0008270"
"Solyc00g005900.1.1"	"0019898,0005509,0042549,0009535,0009654"
"Solyc00g006090.1.1"	"0005488,0004518"
"Solyc00g006170.1.1"	"0005488"
"Solyc00g006480.1.1"	"0008152"
"Solyc00g006490.2.1"	"0005488"
"Solyc00g006550.1.1"	"0008152"
"Solyc00g006560.1.1"	"0008152,0080044,0016740"
"Solyc00g006600.1.1"	"0003676"
"Solyc00g006800.2.1"	"0005737,0005975,0008152,0004801,0046686,0006098,0009570,0005739"
"Solyc00g006810.2.1"	"0005528,0006457,0009543,0000413,0003755,0009535"
"Solyc00g006820.2.1"	"0016020,0042936,0016021,0006857,0005215"
"Solyc00g006830.2.1"	"0016020,0016023,0005739,0009536"
"Solyc00g006890.1.1"	"0010468,0009987"
"Solyc00g007010.2.1"	"0004439,0043812,0048768,0090404,0031520"
"Solyc00g007020.1.1"	"0009536"
"Solyc00g007030.1.1"	"0010731,0016740"
"Solyc00g007060.2.1"	"0004674,0005515,0006468,0004715,0005524,0009536,0009069"
"Solyc00g007070.2.1"	"0000166,0003676,0003729,0017025,0030529,0003723"
"Solyc00g007080.2.1"	"0016020,0016023"
"Solyc00g007090.2.1"	"0017176"
"Solyc00g007100.2.1"	"0004674,0006468,0005524,0009069,0004713"
"Solyc00g007110.2.1"	"0005509,0044464,0005515"
"Solyc00g007120.2.1"	"0005509,0044464"
"Solyc00g007130.2.1"	"0015187,0016021,0006865,0015171"
"Solyc00g007160.1.1"	"0005488,0016023"
"Solyc00g007180.1.1"	"0016491,0055114"
"Solyc00g007190.2.1"	"0003824,0004722,0008287,0046872,0006470,0009536,0005739"
"Solyc00g007200.2.1"	"0016021,0012505,0006952,0005516,0008219,0005737,0010483,0005886"
"Solyc00g007220.2.1"	"0008270,0010200,0005515"
"Solyc00g007230.1.1"	"0006278,0000785,0003964,0003677,0006333,0003682,0003723,0004190,0006508,0005634,0008270,0015074"
"Solyc00g007240.1.1"	"0008270,0004519,0003964,0003677,0004190,0015074,0006278"
"Solyc00g007250.1.1"	"0003676,0015074,0004519,0003964,0003677,0004190,0008270,0006278"
"Solyc00g007260.2.1"	"0006508,0008234"
"Solyc00g007270.2.1"	"0005515,0042256,0043023,0003743,0005829,0005730,0071215,0043022,0009793,0005840,0006446"
"Solyc00g007290.1.1"	"0006508,0008234"
"Solyc00g007300.2.1"	"0005515,0019903,0005886,0004721,0006470"
"Solyc00g007570.1.1"	"0005975,0012505,0047911,0004650,0007047,0005982,0005985"
"Solyc00g007580.1.1"	"0046872"
"Solyc00g007600.1.1"	"0003684,0005524,0000707,0007131,0008094,0000733,0005634"
"Solyc00g008680.2.1"	"0005509,0007165,0005578,0005886"
"Solyc00g009020.2.1"	"0005507,0008270,0050897,0005730,0009555,0009507,0005753"
"Solyc00g009030.1.1"	"0016020,0016021,0055056,0022891,0055085"
"Solyc00g009040.2.1"	"0000166,0003676,0003723,0003743,0008143,0016020"
"Solyc00g009050.1.1"	"0009536"
"Solyc00g009060.2.1"	"0005737,0009116,0006166,0052657,0046098,0046100,0004422,0009845"
"Solyc00g009090.2.1"	"0004675,0005515,0006468,0004872,0005524,0016021,0004674,0007169,0055114,0032440,0009069,0004713"
"Solyc00g009100.2.1"	"0003723,0009536"
"Solyc00g009110.2.1"	"0004437,0004445,0016491,0046855,0032957,0009536"
"Solyc00g009120.2.1"	"0008152,0016630,0055114,0005488,0015995,0019685"
"Solyc00g009130.2.1"	"0008152,0016630,0055114,0005488,0015995,0019685"
"Solyc00g009140.2.1"	"0008152,0016630,0055114,0005488,0015995,0019685"
"Solyc00g009540.1.1"	"0004386,0005524,0019079"
"Solyc00g009760.2.1"	"0004497,0005739"
"Solyc00g010210.1.1"	"0044260,0005488,0044238"
"Solyc00g010540.1.1"	"0006278,0000785,0003964,0006333,0003677,0003682,0003723,0004190,0006508,0005634,0008270,0015074"
"Solyc00g010750.1.1"	"0005525,0005730,0006955,0003924,0009507"
"Solyc00g010760.1.1"	"0004386,0005524,0019079"
"Solyc00g011550.1.1"	"0006355,0050789,0005634,0003677"
"Solyc00g011560.1.1"	"0005634,0007275,0016567,0006511,0004842,0008270"
"Solyc00g011660.1.1"	"0006355,0003677"
"Solyc00g011870.1.1"	"0003824,0008287,0046872,0004722,0005886,0009737,0006470"
"Solyc00g011890.2.1"	"0004335,0005737,0009702,0016310,0019566,0005524,0006396,0009117,0006012"
"Solyc00g012310.1.1"	"0006278,0003723,0003964"
"Solyc00g012640.1.1"	"0003886,0008170,0016458,0051567,0006306,0008168"
"Solyc00g012660.1.1"	"0005515"
"Solyc00g012680.1.1"	"0008270,0003676,0005622"
"Solyc00g013120.2.1"	"0008137,0005747,0006120,0006744,0006814,0015992"
"Solyc00g013130.2.1"	"0055114,0016023,0008137,0005747,0016021,0019684,0006120,0006744,0006814,0015992"
"Solyc00g013140.1.1"	"0055114,0005743,0070469,0008137,0016021,0006120,0006744,0006814,0015992"
"Solyc00g013160.1.1"	"0005739"
"Solyc00g013180.1.1"	"0055114,0008137,0005747,0016021,0006120,0006744,0006814,0015992"
"Solyc00g014790.2.1"	"0005739"
"Solyc00g014800.1.1"	"0005622,0020037,0003676,0004497,0009055,0055114,0008270,0006118"
"Solyc00g014830.2.1"	"0055114,0006120,0051287,0048038,0008137,0005747,0019684,0006744,0006814,0015992"
"Solyc00g014850.1.1"	"0005739"
"Solyc00g014960.1.1"	"0005515"
"Solyc00g014970.1.1"	"0016023,0004386,0005524,0019079"
"Solyc00g014980.1.1"	"0008152,0045552,0055114,0050662,0009813,0005515"
"Solyc00g014990.1.1"	"0009536"
"Solyc00g015000.1.1"	"0003886,0003677,0090116,0006555"
"Solyc00g015720.1.1"	"0016757"
"Solyc00g015730.1.1"	"0005622,0003700,0016491,0003676,0008270,0006355,0055114,0005667,0045449"
"Solyc00g015740.1.1"	"0055114,0070401,0009414,0009409,0046686,0004032,0016229,0009507,0005634,0005829,0009651,0006000,0006012,0006013,0006090,0046486"
"Solyc00g015750.1.1"	"0035035,0055114,0070401,0009414,0009409,0046686,0004032,0016229,0009507,0005634,0005829,0009651,0006000,0006012,0006013,0006090,0046486"
"Solyc00g015760.1.1"	"0047134,0055114"
"Solyc00g015770.1.1"	"0045290,0055114,0070401,0009414,0009409,0004032,0016229,0009507,0005634,0005829,0009651,0006000,0006012,0006013,0006090,0046486"
"Solyc00g016480.1.1"	"0044464"
"Solyc00g016490.1.1"	"0005515"
"Solyc00g017210.1.1"	"0005200,0005515,0005524,0005618,0006655,0048767,0005856,0007010,0009570,0004366,0005634,0005886,0042967"
"Solyc00g017220.1.1"	"0003700,0042803,0009615,0009944,0009753,0010338,0009739,0005730,0009651,0042742,0009751,0003677,0009733,0008356,0000793,0045892,0046686,0045088,0050832"
"Solyc00g017230.1.1"	"0005576,0009664,0009831,0012505,0009828,0009739,0009826,0016020,0010114,0006949"
"Solyc00g017530.1.1"	"0006915,0006952,0003677,0005524,0008270,0015074,0006281"
"Solyc00g017540.1.1"	"0016023,0006614,0048500,0008312"
"Solyc00g017550.1.1"	"0016023,0006614,0048500,0008312"
"Solyc00g017870.1.1"	"0008565,0015031,0016020,0030288"
"Solyc00g017880.1.1"	"0006298,0005524,0003684,0030983"
"Solyc00g017900.1.1"	"0006396,0003723,0008173,0001510"
"Solyc00g017910.1.1"	"0008152,0003951,0046872,0005524,0005737,0016310,0006769,0046497,0005515"
"Solyc00g017920.1.1"	"0005515,0006096,0008152,0004332,0008270,0006000,0006013,0006020,0006094,0006098,0015976"
"Solyc00g017930.1.1"	"0009317,0016874,0006633,0004114,0005524,0007165,0016740,0003989,0006144,0006090"
"Solyc00g018770.1.1"	"0005515"
"Solyc00g019620.1.1"	"0005125,0005515,0044464"
"Solyc00g019730.1.1"	"0016020,0004129,0000276,0016021,0015986,0016820,0006123,0045277"
"Solyc00g019740.1.1"	"0000276,0016021,0004129,0046933,0050897,0015986,0005524,0016820,0009507,0005773,0006123,0045277"
"Solyc00g019950.1.1"	"0055114,0050897,0008137,0005747,0009579,0008270,0019684,0006120,0006744,0006814,0015992"
"Solyc00g020040.1.1"	"0016020,0012505,0017004,0016023,0015886,0015232,0005739"
"Solyc00g020840.2.1"	"0016021,0050660,0005506,0009055,0055114,0000293,0006118"
"Solyc00g020970.1.1"	"0046872"
"Solyc00g020990.1.1"	"0005525,0030496,0007059,0019003,0043014,0048487,0005737,0051233,0045298"
"Solyc00g021500.1.1"	"0005488"
"Solyc00g021510.1.1"	"0016021,0006812,0055085,0015299,0006885"
"Solyc00g021520.1.1"	"0005525,0005622,0016787"
"Solyc00g021530.1.1"	"0016787"
"Solyc00g021630.1.1"	"0055114,0008137,0005747,0016021,0006120,0006744,0006814,0015992"
"Solyc00g021640.2.1"	"0003723,0003735,0015935,0009507,0006412,0019843,0005739,0042254"
"Solyc00g021660.1.1"	"0005829,0004575,0005739,0005982,0005985,0017177"
"Solyc00g022100.1.1"	"0005840,0005739"
"Solyc00g022110.2.1"	"0005840,0005762,0003735,0003723,0016740,0009507,0006412,0042254"
"Solyc00g022920.1.1"	"0005524,0016874,0004638,0009555,0009507,0006189,0006144,0009320"
"Solyc00g023020.1.1"	"0005524,0006189,0016874,0004638,0009555,0009507,0006144,0009320"
"Solyc00g023030.1.1"	"0006633,0016491,0005506,0016021,0005783,0055114"
"Solyc00g023040.1.1"	"0003824,0005783,0006633,0016491,0005506,0016021,0055114"
"Solyc00g023050.1.1"	"0005783,0006259,0006633,0016491,0003676,0005506,0016021,0055114"
"Solyc00g023250.1.1"	"0008152,0055114,0016491,0009860,0005488"
"Solyc00g023260.1.1"	"0003677,0032312,0005829,0008060,0008270,0005739,0005634"
"Solyc00g023270.1.1"	"0005634,0030466,0005664,0042802,0003688,0006270,0005656,0006267,0046809"
"Solyc00g023470.1.1"	"0005618,0030599,0042545,0005982,0005985"
"Solyc00g023600.1.1"	"0005739"
"Solyc00g024020.1.1"	"0003824,0008152,0004419,0006550,0006552,0006574,0046950"
"Solyc00g024030.1.1"	"0005737,0006508,0008152,0016787,0008237,0008270,0045148,0006749"
"Solyc00g024040.1.1"	"0003824,0009228,0009030,0016310"
"Solyc00g024050.1.1"	"0055114"
"Solyc00g024150.2.1"	"0004160,0006729,0009507,0008124"
"Solyc00g024570.1.1"	"0005515"
"Solyc00g024670.1.1"	"0016020,0016757,0030158,0008375,0030206"
"Solyc00g024680.1.1"	"0045449,0003700,0003677,0008270,0006355,0005667"
"Solyc00g024690.1.1"	"0003700,0003677,0008270,0006355,0005667,0045449"
"Solyc00g025290.1.1"	"0005739"
"Solyc00g025500.1.1"	"0005622,0003700,0043565,0006355,0005667,0045449"
"Solyc00g025510.1.1"	"0008152,0048037,0008465,0055114,0004617,0051287,0006544,0006566,0046487,0006564"
"Solyc00g025530.1.1"	"0046872"
"Solyc00g025540.1.1"	"0006355,0006351,0003700,0005667,0045449"
"Solyc00g025650.1.1"	"0008270,0003676"
"Solyc00g026160.2.1"	"0000293,0016021,0055114,0016020,0005488"
"Solyc00g026860.1.1"	"0003723,0005737,0006561,0008652,0016310,0005524,0004349,0000051,0006537"
"Solyc00g026870.1.1"	"0005525,0005840,0000287,0006184,0003924,0003735,0006412,0042254"
"Solyc00g026880.1.1"	"0005840,0003735,0016853,0006412,0019843,0042254"
"Solyc00g027120.1.1"	"0008270"
"Solyc00g027130.1.1"	"0006508,0044428,0016020,0008234"
"Solyc00g027650.1.1"	"0030528,0005737,0051457,0016604,0009640,0010218"
"Solyc00g027660.1.1"	"0004871,0007165,0005834"
"Solyc00g027670.1.1"	"0004871,0007165,0005834,0005515"
"Solyc00g027770.2.1"	"0005618,0030599,0009505,0042545,0004091,0045488,0045330,0005739,0005982,0005985"
"Solyc00g027970.1.1"	"0006508,0005886,0008236"
"Solyc00g027980.1.1"	"0016787,0005886"
"Solyc00g027990.1.1"	"0016020,0048767,0030244,0030173,0009409,0007047,0016760,0009832,0005783,0005886,0005982,0005985,0006011"
"Solyc00g028540.1.1"	"0008152,0004467,0008756,0006631,0006744"
"Solyc00g028550.1.1"	"0005622,0003700,0003677,0006355,0005667,0045449"
"Solyc00g028560.1.1"	"0030288,0008152,0004872,0003824,0007165"
"Solyc00g028960.1.1"	"0045454,0009055,0015035,0008794,0006118"
"Solyc00g029080.1.1"	"0006260,0017108,0003677,0004003,0005524,0005657"
"Solyc00g029190.2.1"	"0008168,0008757"
"Solyc00g029290.1.1"	"0005634,0003690,0006310,0008301,0005515"
"Solyc00g029800.1.1"	"0048500,0006614,0008312"
"Solyc00g030000.1.1"	"0016020,0016759,0016760,0030244,0005982,0005985,0006011"
"Solyc00g030210.1.1"	"0008168,0008658,0009273,0055114,0016021,0008955,0051301,0009252,0009274,0016491,0046914,0006744"
"Solyc00g030510.2.1"	"0005975,0004650,0005618,0005576,0007047,0000166,0005982,0005985"
"Solyc00g031030.1.1"	"0016491,0055114,0005506"
"Solyc00g031040.1.1"	"0009168,0046872,0004000,0046085,0000034,0006146"
"Solyc00g031050.1.1"	"0016020,0055085,0016021,0008643,0022857"
"Solyc00g031360.1.1"	"0046416,0008721,0030170,0006544,0006563,0006566"
"Solyc00g031370.1.1"	"0006355,0006351,0003700,0005667,0045449"
"Solyc00g031700.1.1"	"0055114,0050236,0042816"
"Solyc00g031720.1.1"	"0016020,0030001,0009987,0006825,0015662,0046873,0000166,0008152,0005507"
"Solyc00g031730.1.1"	"0008152,0016020,0006825,0046872,0015662,0046873,0005524,0006754"
"Solyc00g032030.1.1"	"0004842,0005634,0008270,0016567,0006511,0007275,0005515"
"Solyc00g032940.1.1"	"0006508,0008234"
"Solyc00g033460.2.1"	"0008168"
"Solyc00g033860.1.1"	"0016772"
"Solyc00g033990.1.1"	"0008152,0008080,0042967"
"Solyc00g034000.1.1"	"0022857,0055085,0016021"
"Solyc00g034810.1.1"	"0005509"
"Solyc00g036320.1.1"	"0005622,0003700,0003677,0006355,0005667,0045449"
"Solyc00g036540.1.1"	"0005840,0003735,0003723,0015934,0016740,0009507,0006412,0005739,0042254"
"Solyc00g036760.1.1"	"0006508,0004252"
"Solyc00g039990.2.1"	"0004810,0003723,0005739,0008033"
"Solyc00g040290.1.1"	"0016740,0016747"
"Solyc00g040390.1.1"	"0016740,0016747"
"Solyc00g041090.1.1"	"0006508,0012505,0006624,0004197"
"Solyc00g041190.1.1"	"0000036,0006633,0031177,0048037,0005737,0006810,0042967"
"Solyc00g041210.1.1"	"0005488"
"Solyc00g041220.1.1"	"0016787,0005737,0009381,0009432,0004386,0003677,0005524,0006289,0006308,0009380"
"Solyc00g042120.1.1"	"0016021,0004871,0007165"
"Solyc00g042130.1.1"	"0005524,0016469,0033178,0045261,0042777,0046933,0045263,0046961,0015991,0005886,0006119"
"Solyc00g042140.1.1"	"0005524,0016469,0045261,0042777,0008553,0046933,0046961,0015991,0005886,0006119"
"Solyc00g042840.1.1"	"0005515"
"Solyc00g042850.1.1"	"0006629,0016787"
"Solyc00g044350.2.1"	"0044464"
"Solyc00g044750.1.1"	"0000166,0003676"
"Solyc00g047200.1.1"	"0016020,0009825,0008121,0009897,0009651,0016021,0010215,0046872,0005750,0009055,0009505,0009930,0022904,0009060,0046658,0006118,0006119,0015992,0045285"
