ITAG,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc00g005070.1.1,-1.78935454,3.766584543,0.023138472,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g006680.1.1,1.538041816,10.91842279,0.015920415,Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g006690.2.1,1.623150619,6.160095706,0.014927891,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g007060.2.1,1.530975433,3.175884517,0.042654364,Serine/threonine kinase-like protein ABC1063 (AHRD V1 **** Q1KMP8_HORVD); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g007200.2.1,-1.339275841,4.879110478,0.041928187,MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein ,AT2G17480,ATMLO8,"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s).",62.21,561,0,651,97.65765766
Solyc00g007300.2.1,-2.343998625,3.282631723,0.002256752,"Lrr,  resistance protein fragment",NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g009120.2.1,-2.001112627,3.573904535,0.014376973,Short-chain dehydrogenase/reductase family protein (AHRD V1 ***- D7LXC9_ARALY); contains Interpro domain(s)  IPR002198  Short-chain dehydrogenase/reductase SDR ,AT4G09750,NA,"short-chain dehydrogenase/reductase (SDR) family protein; similar to short-chain dehydrogenase/reductase (SDR) family protein [Arabidopsis thaliana] (TAIR:AT4G24050.1); similar to putative short chain dehydrogenase/reductase [Oryza sativa (japonica cultivar-group)] (GB:BAD32915.1); contains InterPro domain Alcohol dehydrogenase, zinc-binding; (InterPro:IPR013149); contains InterPro domain Glucose/ribitol dehydrogenase; (InterPro:IPR002347)",76.84,177,2.00E-80,295,81.86046512
Solyc00g011880.2.1,-1.806242133,4.386633462,0.013933135,AIG2-like protein (AHRD V1 ***- B4FVZ7_MAIZE); contains Interpro domain(s)  IPR009288  AIG2-like ,AT2G24390,NA,similar to avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related [Arabidopsis thaliana] (TAIR:AT4G31310.1); similar to Os02g0141000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045856.1); similar to hypothetical protein SNOG_11054 [Phaeosphaeria nodorum SN15] (GB:EAT81553.1); similar to conserved hypothetical protein [Caldicellulosiruptor saccharolyticus DSM 8903] (GB:ZP_00885054.1); contains InterPro domain AIG2-like; (InterPro:IPR009288),60.14,148,5.00E-48,186,92.99363057
Solyc00g011890.2.1,-1.772624068,5.607781789,0.009064698,"Galactokinase like protein (AHRD V1 **** O23461_ARATH); contains Interpro domain(s)  IPR012369  Galactokinase, glycosyltransferase ",AT4G16130,ARA1,Similar to galactokinase.,79.22,977,0,1513,92.28543877
Solyc00g012440.1.1,1.472378074,11.54084487,0.020612388,TO54-2 (Fragment) (AHRD V1 ***- Q3LVL5_TAROF),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g013120.2.1,2.154169103,3.738309716,0.012843323,Uncharacterized mitochondrial protein AtMg01330 (AHRD V1 *-*- M1330_ARATH),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g014800.1.1,-1.605780783,3.75763314,0.029978194,"Zinc-finger protein 1 (AHRD V1 *-*- D7KX25_ARALY); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g019750.1.1,1.4242274,6.207512923,0.028944934,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g019970.2.1,-2.361165435,6.599746942,0.000374885,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g019980.2.1,1.410528578,6.367371709,0.030567966,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc00g020020.2.1,1.620488862,5.239684441,0.018011484,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
